"player_name","avg_age_in_career","avg_player_height","avg_player_weight","college","country","draft_year","draft_round","draft_number","total_gp","avg_pts","avg_reb","avg_ast","avg_net_rating","avg_oreb_pct","avg_dreb_pct","avg_usg_pct","avg_ts_pct","avg_ast_pct","modern_draft_round"
"Sergei Monia",23,203.2,99.79024,"None","Russia","2004","1","23",26,3,2,0.7,-24.5,0.038,0.152,0.143,0.413,0.091,"Round 1"
"Sergey Karasev",21,200.66,92.532768,"None","Russia","2013","1","19",95,3.00210526315789,1.48842105263158,0.934736842105263,-4.63333333333333,0.0233333333333333,0.119666666666667,0.135,0.513333333333333,0.0986666666666667,"Round 1"
"Sergio Rodriguez",24.2,190.5,78.3806976,"None","Spain","2006","1","27",353,4.9685552407932,1.47762039660057,3.36968838526912,-4.86,0.0276,0.0898,0.1938,0.489,0.3574,"Round 1"
"Seth Curry",27.5555555555556,187.677777777778,83.91452,"Duke","USA","Undrafted","Undrafted","Undrafted",438,10.9819634703196,2.15753424657534,2.11438356164384,-1.65555555555556,0.01,0.112444444444444,0.170111111111111,0.528555555555556,0.122888888888889,"Undrafted"
"Shabazz Muhammad",23,198.12,101.2417344,"UCLA","USA","2013","1","14",278,9.01258992805755,2.7841726618705,0.526258992805755,-8.9,0.0716,0.1182,0.229,0.537,0.0554,"Round 1"
"Shabazz Muhammad",23,198.12,101.2417344,"California-Los Angeles","USA","2013","1","14",278,9.01258992805755,2.7841726618705,0.526258992805755,-8.9,0.0716,0.1182,0.229,0.537,0.0554,"Round 1"
"Shabazz Napier",25.5,184.996666666667,79.7565933333333,"Connecticut","USA","2014","1","24",345,7.03739130434783,1.90898550724638,2.47014492753623,-0.633333333333333,0.018,0.099,0.201,0.523333333333333,0.224666666666667,"Round 1"
"Shaedon Sharpe",20,195.58,90.7184,"Kentucky","Canada","2022","1","7",80,9.9,3,1.2,-7.6,0.037,0.102,0.186,0.568,0.079,"Round 1"
"Shai Gilgeous-Alexander",22,197.612,83.0980544,"Kentucky","Canada","2018","1","11",311,21.0684887459807,4.54501607717042,4.54180064308682,-1.98,0.0202,0.1132,0.2632,0.5856,0.236,"Round 1"
"Shake Milton",24,196.088,93.1677968,"Southern Methodist","USA","2018","2","54",254,9.34015748031496,2.36968503937008,2.74803149606299,1.24,0.0244,0.091,0.1842,0.5482,0.1738,"Round 2"
"Shammond Williams",27.2857142857143,185.42,91.171992,"North Carolina","USA","1998","2","34",325,5.80676923076923,1.58953846153846,2.36430769230769,-8.81428571428571,0.0215714285714286,0.077,0.200142857142857,0.517285714285714,0.341285714285714,"Round 2"
"Shamorie Ponds",22,182.88,79.3786,"St. John's, N.Y.","USA","Undrafted","Undrafted","Undrafted",4,2.3,0.3,0.5,-5.5,0,0.167,0.222,0.765,0.4,"Undrafted"
"Shandon Anderson",27.5,198.12,95.3903976,"Georgia","USA","1996","2","54",719,7.40486787204451,3.14381084840056,1.40333796940195,0.97,0.0469,0.1201,0.1702,0.5256,0.0975,"Round 2"
"Shane Battier",29,203.2,100.139156923077,"Duke","USA","2001","1","6",977,8.61545547594677,4.18249744114637,1.7625383828045,4.33846153846154,0.0476923076923077,0.105615384615385,0.125615384615385,0.558769230769231,0.0859230769230769,"Round 1"
"Shane Edwards",27,200.66,99.79024,"Arkansas-Little Rock","USA","Undrafted","Undrafted","Undrafted",2,1,1,0,-25.6,0.083,0.111,0.161,0.333,0,"Undrafted"
"Shane Heal",29.5,182.88,81.64656,"None","USA","Undrafted","Undrafted","Undrafted",49,1.94489795918367,0.436734693877551,0.8,5.6,0.0115,0.0585,0.201,0.399,0.1765,"Undrafted"
"Shane Larkin",22.75,180.34,79.491998,"Miami (FL)","USA","2013","1","18",256,5.496875,1.9109375,2.8921875,-3.75,0.02,0.09475,0.1595,0.489,0.22975,"Round 1"
"Shane Larkin",22.75,180.34,79.491998,"Miami","USA","2013","1","18",256,5.496875,1.9109375,2.8921875,-3.75,0.02,0.09475,0.1595,0.489,0.22975,"Round 1"
"Shannon Brown",25,192.757777777778,95.3551182222222,"Michigan State","USA","2006","1","25",408,7.64338235294118,1.85759803921569,1.12279411764706,-6.1,0.0258888888888889,0.0811111111111111,0.213222222222222,0.484,0.102222222222222,"Round 1"
"Shaq Buchanan",25,190.5,86.18248,"Murray State","USA","Undrafted","Undrafted","Undrafted",2,1,1,1,-8.7,0.091,0.143,0.214,0.25,0.25,"Undrafted"
"Shaquille Harrison",26.5,195.58,86.9384666666667,"Tulsa","USA","Undrafted","Undrafted","Undrafted",180,5.31333333333333,2.44833333333333,1.65555555555556,-3.36666666666667,0.028,0.137833333333333,0.157166666666667,0.476333333333333,0.181833333333333,"Undrafted"
"Shaquille O'Neal",32,215.9,145.905426666667,"Louisiana State","USA","1992","1","1",912,22.5691885964912,10.3145833333333,2.52785087719298,7.74,0.113466666666667,0.23,0.287866666666667,0.588066666666667,0.130333333333333,"Round 1"
